Symbol,Date,Open,High,Low,Close,Adj Close,Volume
AAPL,30-12-16,29.1625,29.299999,28.8575,28.955,27.254818,122345200
AAPL,03-01-17,28.950001,29.0825,28.690001,29.0375,27.332476,115127600
AAPL,04-01-17,28.9625,29.127501,28.9375,29.004999,27.301876,84472400
AAPL,05-01-17,28.98,29.215,28.952499,29.1525,27.440718,88774400
AAPL,06-01-17,29.195,29.540001,29.1175,29.477501,27.746635,127007600
AAPL,09-01-17,29.487499,29.8575,29.485001,29.747499,28.000782,134247600
AAPL,10-01-17,29.692499,29.844999,29.575001,29.7775,28.029024,97848400
AAPL,11-01-17,29.684999,29.9825,29.65,29.9375,28.179623,110354400
AAPL,12-01-17,29.725,29.825001,29.5525,29.8125,28.061964,108344800
AAPL,13-01-17,29.7775,29.905001,29.702499,29.76,28.012545,104447600
AAPL,17-01-17,29.584999,30.059999,29.555,30,28.238453,137759200
AAPL,18-01-17,30,30.125,29.9275,29.997499,28.236101,94852000
AAPL,19-01-17,29.85,30.022499,29.842501,29.945,28.186686,102389200
AAPL,20-01-17,30.112499,30.112499,29.932501,30,28.238453,130391600
AAPL,23-01-17,30,30.202499,29.942499,30.02,28.257278,88200800
AAPL,24-01-17,29.887501,30.025,29.875,29.9925,28.231392,92844000
AAPL,25-01-17,30.105,30.525,30.07,30.469999,28.680857,129510400
AAPL,26-01-17,30.4175,30.610001,30.4,30.485001,28.694977,105350400
AAPL,27-01-17,30.535,30.5875,30.4,30.487499,28.69733,82251600
AAPL,30-01-17,30.2325,30.407499,30.165001,30.407499,28.62203,121510000
AAPL,31-01-17,30.2875,30.3475,30.155001,30.3375,28.556137,196804000
AAPL,01-02-17,31.7575,32.622501,31.752501,32.1875,30.297514,447940000
AAPL,02-02-17,31.995001,32.3475,31.945,32.1325,30.245741,134841600
AAPL,03-02-17,32.077499,32.297501,32.040001,32.27,30.375164,98029200
AAPL,06-02-17,32.282501,32.625,32.224998,32.572498,30.659901,107383600
AAPL,07-02-17,32.634998,33.022499,32.612499,32.8825,30.951698,152735200
AAPL,08-02-17,32.837502,33.055,32.805,33.009998,31.07172,92016400
AAPL,09-02-17,32.912498,33.112499,32.779999,33.105,31.296232,113399600
AAPL,10-02-17,33.115002,33.235001,33.012501,33.029999,31.225344,80262000
AAPL,13-02-17,33.27,33.455002,33.1875,33.322498,31.50186,92141600
AAPL,14-02-17,33.3675,33.772499,33.3125,33.755001,31.910728,132904800
AAPL,15-02-17,33.880001,34.067501,33.654999,33.877499,32.026531,142492400
AAPL,16-02-17,33.9175,33.974998,33.709999,33.837502,31.988724,90338400
AAPL,17-02-17,33.775002,33.9575,33.775002,33.93,32.076153,88792800
AAPL,21-02-17,34.057499,34.1875,33.994999,34.174999,32.307774,98028800
AAPL,22-02-17,34.107498,34.279999,34.0275,34.2775,32.404671,83347600
AAPL,23-02-17,34.345001,34.369999,34.075001,34.1325,32.267601,83152800
AAPL,24-02-17,33.977501,34.165001,33.82,34.165001,32.298325,87106400
AAPL,27-02-17,34.285,34.360001,34.07,34.232498,32.362133,81029600
AAPL,28-02-17,34.27,34.360001,34.174999,34.247501,32.376312,93931600
AAPL,01-03-17,34.4725,35.037498,34.400002,34.947498,33.038071,145658400
AAPL,02-03-17,35,35.07,34.689999,34.740002,32.841911,104844000
AAPL,03-03-17,34.695,34.9575,34.647499,34.945,33.035706,84432400
AAPL,06-03-17,34.842499,34.942501,34.650002,34.834999,32.931709,87000000
AAPL,07-03-17,34.764999,34.994999,34.697498,34.880001,32.974255,69785200
AAPL,08-03-17,34.737499,34.950001,34.705002,34.75,32.851364,74828800
AAPL,09-03-17,34.685001,34.697498,34.262501,34.669998,32.775734,88623600
AAPL,10-03-17,34.8125,34.84,34.66,34.785,32.884449,78451200
AAPL,13-03-17,34.712502,34.857498,34.705002,34.799999,32.898617,69686800
AAPL,14-03-17,34.825001,34.912498,34.709999,34.747501,32.848995,61236400
AAPL,15-03-17,34.852501,35.1875,34.7575,35.115002,33.196423,102767200
AAPL,16-03-17,35.18,35.255001,35.064999,35.172501,33.250774,76928000
AAPL,17-03-17,35.25,35.25,34.9725,34.997501,33.085346,175540000
AAPL,20-03-17,35.099998,35.375,35.057499,35.365002,33.432755,86168000
AAPL,21-03-17,35.5275,35.700001,34.932499,34.959999,33.049885,158119600
AAPL,22-03-17,34.962502,35.400002,34.939999,35.355,33.423302,103440800
AAPL,23-03-17,35.314999,35.395,35.1525,35.23,33.30513,81385200
AAPL,24-03-17,35.375,35.435001,35.087502,35.16,33.238956,89582400
AAPL,27-03-17,34.8475,35.305,34.654999,35.220001,33.295681,94300400
AAPL,28-03-17,35.227501,36.009998,35.154999,35.950001,33.985794,133499200
AAPL,29-03-17,35.919998,36.122501,35.797501,36.029999,34.06142,116760000
AAPL,30-03-17,36.047501,36.125,35.875,35.982498,34.016521,84829200
AAPL,31-03-17,35.93,36.067501,35.752499,35.915001,33.952713,78646800
AAPL,03-04-17,35.927502,36.029999,35.762501,35.924999,33.96217,79942800
AAPL,04-04-17,35.8125,36.2225,35.7925,36.192501,34.215042,79565600
AAPL,05-04-17,36.055,36.365002,35.952499,36.005001,34.037785,110871600
AAPL,06-04-17,36.072498,36.130001,35.862499,35.915001,33.952713,84596000
AAPL,07-04-17,35.932499,36.044998,35.817501,35.834999,33.877079,66688800
AAPL,10-04-17,35.900002,35.970001,35.724998,35.7925,33.836895,75733600
AAPL,11-04-17,35.735001,35.837502,35.014999,35.407501,33.472935,121517600
AAPL,12-04-17,35.400002,35.537498,35.252499,35.450001,33.513115,81400000
